GearInfo_Clothes.byaml:

Addition;Brand;CatalogueOrder;HideBody;HideEar;HowToGet;Id;IsHideFoot;IsHideHair;IsUnisex;Material;ModelName;Name;Price;Progress;Rarity;Skill0;Skill1;W3CUTCFrom;
0;-;0;None;;cImpossible;0;0;0;1;Plastic;Clt_Invisible;NoClothes;0;Finish;0;BombDistance_Up;None;;
0;B00;1;Body;;cOrder;1;0;0;0;Cloth;Clt_First;First;0;Finish;0;RespawnTime_Save;None;;
0;B00;1000;Body;;cShop;1000;0;0;0;Cloth;Clt_TES000;TES000;400;Finish;0;SubInk_Save;None;;
0;B10;1001;Body;;cShop;1001;0;0;0;Cloth;Clt_TES001;TES001;500;Finish;0;HumanMove_Up;None;;
0;B10;1003;Body;;cShop;1003;0;0;0;Cloth;Clt_TES003;TES003;500;Finish;0;MarkingCancel;None;;
0;B03;1004;Body;;cShop;1004;0;0;0;Cloth;Clt_TES004;TES004;2500;Finish;1;InkRecovery_Up;None;;
0;B03;1005;Body;;cShop;1005;0;0;0;Cloth;Clt_TES005;TES005;800;Finish;0;Attack_Up;None;;
0;B00;1006;Body;;cShop;1006;0;0;0;Cloth;Clt_TES006;TES006;400;Finish;0;SpecialTime_Up;None;;
0;B02;1007;Body;;cShop;1007;0;0;0;Cloth;Clt_TES007;TES007;300;Finish;0;SpecialIncrease_Up;None;;
0;B02;1008;Body;;cShop;1008;0;0;0;Cloth;Clt_TES008;TES008;300;Finish;0;MainInk_Save;None;;
3;B07;1009;Body;;cShop;1009;0;0;1;Cloth;Clt_TES009;TES009;8200;Finish;2;RespawnSpecialGauge_Save;None;;
3;B06;1010;Body;;cShop;1010;0;0;0;Cloth;Clt_TES010;TES010;750;Finish;0;SquidMove_Up;None;;
0;B07;1011;Body;;cShop;1011;0;0;0;Cloth;Clt_TES011;TES011;400;Finish;0;Defense_Up;None;;
0;B07;1012;Body;;cShop;1012;0;0;0;Cloth;Clt_TES012;TES012;400;Finish;0;InkRecovery_Up;None;;
0;B11;1013;Body;;cShop;1013;0;0;0;Cloth;Clt_TES013;TES013;500;Finish;0;MainInk_Save;None;;
0;B11;1014;Body;;cShop;1014;0;0;0;Cloth;Clt_TES014;TES014;500;Finish;0;JumpTime_Save;None;;
0;B09;1015;Body;;cShop;1015;0;0;0;Cloth;Clt_TES015;TES015;400;Finish;0;SubInk_Save;None;;
0;B09;1016;Body;;cShop;1016;0;0;0;Cloth;Clt_TES016;TES016;400;Finish;0;DeathMarking;None;;
1;B07;1017;Body;;cShop;1017;0;0;0;Cloth;Clt_TES017;TES017;400;Finish;0;SquidMove_Up;None;;
0;B08;1018;Body;;cShop;1018;0;0;0;Cloth;Clt_TES018;TES018;700;Finish;0;SpecialTime_Up;None;;
0;B08;1019;Body;;cShop;1019;0;0;0;Cloth;Clt_TES019;TES019;700;Finish;0;HumanMove_Up;None;;
0;B06;1020;Body;;cShop;1020;0;0;0;Cloth;Clt_TES020;TES020;600;Finish;0;RespawnRadar;None;;
0;B06;1021;Body;;cShop;1021;0;0;0;Cloth;Clt_TES021;TES021;600;Finish;0;Defense_Up;None;;
0;B00;1022;Body;;cShop;1022;0;0;0;Cloth;Clt_TES022;TES022;8000;Finish;2;SquidMoveSpatter_Reduction;None;;
0;B00;1023;Body;;cShop;1023;0;0;0;Cloth;Clt_TES023;TES023;2800;Finish;1;RespawnRadar;None;;
0;B12;1024;Body;;cShop;1024;0;0;0;Cloth;Clt_TES024;TES024;700;Finish;0;SquidMove_Up;None;;
0;B12;1025;Body;;cShop;1025;0;0;0;Cloth;Clt_TES025;TES025;800;Finish;0;RespawnSpecialGauge_Save;None;;
1;B06;1026;Body;;cShop;1026;0;0;0;Cloth;Clt_TES026;TES026;500;Finish;0;Defense_Up;None;;
3;B07;1027;Body;;cShop;1027;0;0;0;Cloth;Clt_TES027;TES027;400;Finish;0;SubInk_Save;None;;
1;B98;1028;Body;;cOther;1028;0;0;0;Cloth;Clt_TES028;TES028;0;Finish;2;DeathMarking;None;;
3;B06;1029;Body;;cShop;1029;0;0;0;Cloth;Clt_TES029;TES029;500;Finish;0;SquidMoveSpatter_Reduction;None;;
0;B08;2000;BodyArmAll;;cShop;2000;0;0;0;Cloth;Clt_TEL000;TEL000;2300;Finish;1;RespawnTime_Save;None;;
0;B04;2001;BodyArmAll;;cShop;2001;0;0;0;Cloth;Clt_TEL001;TEL001;3000;Finish;1;JumpTime_Save;None;;
3;B11;2002;BodyArmAll;;cShop;2002;0;0;0;Cloth;Clt_TEL002;TEL002;600;Finish;0;BombDistance_Up;None;;
0;B08;2003;BodyArmAll;;cShop;2003;0;0;0;Cloth;Clt_TEL003;TEL003;2300;Finish;1;Attack_Up;None;;
